tract_id,month 1,ci integral,norm ci integral,month 2, , ,month 3, , ,month 4, , ,month 5, , ,month 6, , ,month 7, , ,month 8, , ,month 9, , ,month 10, , ,month 11, , ,month 12, , ,month 13, , ,month 14, , ,month 15, , ,month 16, , ,month 17, , ,month 18, , ,month 19, , ,month 20, , ,month 21, , ,month 22, , ,month 23, , ,month 24, , ,month 25, , ,month 26, , ,month 27, , ,month 28, , ,month 29, , ,month 30, , ,month 31, , ,month 32, , ,month 33, , ,month 34, , ,month 35, , ,month 36, , ,month 37, , ,month 38, , ,month 39, , ,month 40, , 
6075015700, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.017001992109412667,0.0010179925008566612, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.007295627976687147,-0.0004368249627169209, ,-0.014182676623241797,-0.000849186280738368, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.04794922348399,-0.002870954745448834, ,-0.28991244914814024,-0.017358477597128476
6075020100, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.06514939538200037,-0.003900813240438155, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.03876609898383632,-0.002321116125631214, ,-0.04491213901561886,-0.002689109630277982, ,-0.04445688009124327,-0.002661851049755183, ,-0.05301424691746526,-0.0031742224942373134, ,0.0,0.0, ,0.0,0.0, ,-0.12828158280218283,-0.007680846364959062, ,-0.1108291800587966,-0.006635885574460781, ,-0.04553823176906491,-0.002726596868464378, ,-0.07408100454064992,-0.004435592405466365, ,-0.07855663697495174,-0.0047035704297702175, ,-0.03828671209522305,-0.002292412885771037, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0
6075017601, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.04083293345837902,0.0024448676238119273, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.2236635802274165,-0.013391833493453353, ,-0.3847440370111208,-0.023036509010600215, ,-0.5631720554427617,-0.03371986796861112, ,-0.8498007011175828,-0.05088172817592942, ,-0.9084138259862291,-0.05439118290241548, ,-0.901504571944594,-0.05397749203868404, ,-1.1349247850302815,-0.06795350290496613, ,-1.3038399345425495,-0.07806727983051669, ,-1.3699674535226176,-0.08202665811917602, ,-1.3053879862182995,-0.07815996926283207, ,-1.0862000518084356,-0.0650361145950033, ,-0.6880331304022516,-0.04119591178392924
6075023102, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.008151176476683897,0.0004880508397501001, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0
6075020300, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.05851874998185369,0.0035038040400014532
6075022600, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.009923175860062639,-0.0005941491176574001, ,-0.029498503994127567,-0.0017662198440785825, ,-0.022040915292450447,-0.0013196974998776515, ,-0.0284976370492952,-0.0017062930403465304, ,-0.01859605667868769,-0.001113436950363545, ,0.0,0.0, ,-0.009105159542093677,-0.000545170476101052, ,-0.05940915465737062,-0.003557116926901461, ,-0.0710667517031155,-0.004255114331805974, ,-0.13334230407424008,-0.007983856522282212, ,-0.1872606948903085,-0.011212214537966083, ,-0.23022806898554687,-0.013784881571862645, ,-0.16248091257363273,-0.00972852766122233, ,-0.13303244878398868,-0.007965303969158035, ,-0.08128779511980533,-0.004867098238289509, ,-0.01755519752250967,-0.0010511156171563259, ,0.0,0.0, ,0.0,0.0, ,0.0489803816394756,0.002932695232253341
6075047600, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.004705125274708177,-0.0002817188841413669, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.05745845397470395,0.0034403189273734375, ,0.061104869007876816,0.0036586476464372415, ,0.05533222594769949,0.003313011246445654, ,0.04701496391081883,0.0028150160511345797, ,0.004564804224762575,0.00027331717593931024, ,0.0,0.0, ,0.0,0.0, ,-0.039624661000081884,-0.002372522436634881, ,-0.1932795780179758,-0.011572594536266745, ,-0.24467061488717723,-0.014649627498488398, ,-0.32914467790302904,-0.019707503194091272, ,-0.3493038018661371,-0.020914528634770217, ,-0.4085348255841543,-0.024460979990292436, ,-0.4742374355324475,-0.028394916895076897, ,-0.433808540653395,-0.025974241038980442, ,-0.42386055617266394,-0.025378606507752997, ,-0.389659626353269,-0.023330829408786228, ,-0.3981377600011232,-0.02383845677499339, ,-0.45459224652756147,-0.027218663256315705, ,-0.5174917640939627,-0.030984765297655273, ,-0.5966033407462863,-0.035721562682617385
6075031201, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.0037752410034298522,-0.00022604216057073138, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.038842793924725116,-0.0023257082272023716, ,-0.07280118380980982,-0.004358963272947544, ,-0.1660303168752204,-0.009941047872870012, ,-0.20238343792746794,-0.012117687197001589, ,-0.219656110584941,-0.013151886667387468, ,-0.2509986573628874,-0.015028518380446224, ,-0.3096045009913696,-0.018537537143438344, ,-0.30506548423636026,-0.01826576398955574, ,-0.2455470245705148,-0.014702102436694132, ,-0.2046005166370195,-0.012250434553053057, ,-0.1533402630048496,-0.009181232223481925, ,-0.10826851486928801,-0.006482566013826395, ,-0.07816021277852114,-0.004679834572434943, ,-0.07177290170427353,-0.004297394989333208, ,-0.09784650016362373,-0.005858548972416853, ,-0.16510698407966595,-0.00988576341822372
6075012502, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.004738852763636614,-0.00028373831401646177, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.011659870409103323,0.0006981335222980355, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.07218874794490526,-0.004322293739535437
6075012301, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.02673061665280807,-0.0016004928787590657, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,-0.18028531261776104,-0.010794564253319108, ,-0.6267956331476072,-0.03752932303507634, ,-1.1221879203826277,-0.0671908844651799, ,-1.715593108634025,-0.10272095810137016, ,-2.1980239173300316,-0.13160645235841428, ,-2.516316739812914,-0.15066420184323437, ,-2.6536491415559915,-0.15888696504647626, ,-2.84817301232348,-0.1705340614810925, ,-2.7920673764775943,-0.16717474239781366, ,-2.7389244433545867,-0.1639928148304671, ,-2.5817745043328006,-0.15458347865357916, ,-2.421861611717791,-0.14500871091902337, ,-2.4924684513305833,-0.1492362880624817, ,-2.6720409810145287,-0.15998817451212383, ,-2.950612346966394,-0.17666760593800937, ,-3.305418489389168,-0.19791158663861808, ,-3.7053700650513246,-0.22185864543677358, ,-4.119541377882226,-0.24665710951195663
